,ID,Text,Logits,Predicted Labels,Gold Labels
16,623534.html.xmi_16,"[3] Dne 30. 7. 2007 podal žalobce odvolání proti vyměření daně na podkladě výše uvedeného dodatečného daňového přiznání, odvolání doplnil dne 21. 8. 2007 a 3. 9. 2007. V odvolání se domáhal přezkoumání dodatečného vyměření daně a navrhoval zrušení dodatečně vyměřené daňové povinnosti za zdaňovací období roku 2005 ve výši 17 717 899 Kč.",[-13.625  -14.625  -17.75   -13.625  -15.3125 -15.6875 -26.375  -19.125 ],00000000,00000000
17,623534.html.xmi_17,"[4] Finanční ředitelství v Praze (dále jen „žalovaný“) rozhodnutím ze dne 6. 3. 2008, č. j. 777/08-1200-203335 odvolání žalobce zamítlo. Svoje rozhodnutí žalovaný odůvodnil tak, že žalobce porušil zvláštní podmínku uvedenou v § 35a odst. 2 písm. a) zákona o daních z příjmu. Ustanovení § 35b odst. 7 téhož zákona navíc nerozlišuje, zda porušení zvláštní podmínky bylo zjištěno správcem daně v průběhu daňové kontroly, nebo zda porušení zjistil daňový subjekt sám. Žalovaný také neshledal text § 35b odst. 7 zákona o daních z příjmu jako nesrozumitelný a i při neexistenci tiskopisu, který by obsahoval algoritmus pro výpočet této sankce, byl žalobce povinen se řídit platnou právní úpravou.",[-13.5    -14.3125 -17.875  -13.8125 -15.6875 -16.25   -26.625  -19.25  ],00000000,00000000
18,623534.html.xmi_18,"[5] Dne 12. 5. 2008 podal žalobce proti výše uvedenému rozhodnutí žalovaného žalobu k Městskému soudu v Praze. V žalobě vznesl tři žalobní námitky: a) Nesprávnou aplikaci §35b odst. 7 zákona o daních z příjmu – podmínky uplatnění investičních pobídek byly dodrženy, b) Nesprávnou aplikaci ustanovení § 35b odst. 7 zákona o daních z příjmu - při přesném dodržení textu zákona nelze dospět ke snížení uplatnění investičních pobídek, c) Výpočet daňové povinnosti byl proveden na tiskopisu, který nebyl oficiálně vydán Ministerstvem financí České republiky.",[-13.6875 -14.1875 -18.125  -13.5    -15.125  -16.     -26.375  -19.    ],00000000,00000000
19,623534.html.xmi_19,"[6] Městský soud v Praze rozhodnutím ze dne 26. 4. 2010, č. j. 10 Ca 113/2008 – 53, žalobu zamítl. V odůvodnění mimo jiné uvedl, že v § 35b odst. 7 zákona o daních z příjmu není nijak rozlišeno, zda porušení zvláštní podmínky stanovené v § 35a odst. 2 téhož zákona zjistil sám daňový subjekt nebo správce daně. Každé nedodržení podmínky citované zvláštní podmínky vede ke snížení (popř. k zániku) slevy na dani. Účelem § 35a odst. 2 písm. a) a §35b odst. 7 zákona o daních z příjmu je zabránit odsouvání daňových nákladů do budoucího období následujícího po vyčerpání slevy na dani a navyšování daňového základu a daňové povinnosti, z níž je poskytována sleva. Tato sleva je výjimkou z obecného pravidla a za těchto okolností je třeba trvat na splnění všech podmínek pro její uplatnění. Městský soud připouští, že chybějící číslo paragrafu v odkazu v § 35b odst. 7 na § 35a zákona o daních z příjmu je legislativní nedůsledností, avšak v daném případě je zřejmé, že se oním odst. 2 písm. a) rozumí právě § 35a. To že algoritmus nebyl uveden v tiskopisu daňového přiznání, není dle názoru městského soudu rozhodující. Rozhodující je, že algoritmus výpočtu byl zcela zjevný ze zákona, a že tiskopis obsahoval příslušné vyznačené místo, kam bylo možné výsledek výpočtu vyplnit.",[-13.3125 -14.5625 -18.75   -14.25   -15.5    -16.625  -26.875  -18.125 ],00000000,00000000
20,623534.html.xmi_20,II.,[-12.75   -15.875  -17.375  -14.4375 -16.375  -16.25   -26.375  -18.875 ],00000000,00000000
21,623534.html.xmi_21,Stručné shrnutí základních argumentů uvedených v kasační stížnosti,[-13.25   -14.8125 -18.25   -13.625  -15.125  -16.125  -26.25   -18.625 ],00000000,00000000
22,623534.html.xmi_22,"[7] Proti výše uvedenému rozsudku městského soudu podal žalobce (dále také „stěžovatel“) včasnou kasační stížnost. V kasační stížnosti uplatnil důvod dle § 103 odst. 1 písm. a) zákona č. 150/2002 Sb., soudní řád správní (dále jen „s. ř. s.“).",[-13.5625 -14.5    -18.     -13.625  -15.125  -16.     -26.375  -19.125 ],00000000,00000000
23,623534.html.xmi_23,"[8] Svoje námitky stěžovatel shrnul do čtyř stížních bodů a to a) Interpretace ustanovení § 35b odst. 7 zákona o daních z příjmu, b) Nejednoznačnost právní úpravy výpočtu slevy na dani, c) Dodržení podmínek pro poskytnutí investičních pobídek, d) Nezákonnost napadeného rozsudku.",[-13.6875 -14.1875 -18.125  -13.5    -15.1875 -16.125  -26.375  -19.    ],00000000,00000000
24,623534.html.xmi_24,"[9] V prvním stížním bodě stěžovatel uvedl, že podstatou sporu je zejména interpretace ustanovení § 35a odst. 2 a § 35b odst. 1 písm. a) b) a odst. 7 zákona o daních z příjmu. Dle stěžovatele je nutné aplikovat sankční snížení slevy na dani jen v případě, kdy je pochybení zjištěno činností správce daně, nikoliv na základě vlastních kontrolních mechanismů daňového subjektu. Toto dovozuje z gramatického výkladu poslední věty § 35b odst. 7 zákona, kdy se právě tato věta vztahuje na situace, kdy porušení podmínek nezjistí správce daně a naopak. Dle názoru stěžovatele spolu § 35b odst. 7 zákona o daních z příjmu a § 41 odst. 1 zákona č. 377/1992 Sb., o správě daní a poplatků (dále také „zákon o správě daní a poplatků“), souvisejí a bylo by v rozporu s jejich smyslem, pokud by ve vztahu k § 35b odst. 7 zákona o daních z příjmu nebylo podstatné, kdo zjistil rozdíl základu daně.","[ -5.21875 -10.3125  -16.625   -11.0625   -6.34375 -14.375   -19.125
  -5.90625]",00000000,00000000
25,623534.html.xmi_25,"[10] Dále není dle stěžovatele z textu § 35 odst. 7 zákona o daních z příjmu možné seznat jednoznačný odkaz na stanovení podmínek investičních pobídek. V případě odkazu na odstavec 2 písm. a) lze z legislativně technického hlediska dovodit, že je odkazováno na část téhož ustanovení, tj. § 35b. Avšak v § 35b odst. 2 písm. a) citovaného zákona žádné podmínky pro poskytnutí investičních pobídek stanoveny nejsou. Stěžovatel poukazuje na to, že i městský soud připustil, že se jedná o legislativní nedůslednost. Dle stěžovatele se v této souvislosti vyskytuje v argumentaci městského soudu vnitřní rozpor, kdy s odkazem na legislativní pravidla vlády, konstatuje, že z kontextu předmětného ustanovení vyplývá, že je odkazováno na § 35a odst. 2 písm. a). Legislativní pravidla vlády ovšem uvádějí, že pokud je odkazováno na jiné ustanovení téhož zákona, měl by tento odkaz obsahovat i číslo paragrafu.",[-10.375  -11.1875 -17.     -13.6875 -13.25   -16.375  -25.75   -17.25  ],00000000,00000000
26,623534.html.xmi_26,"[11] Předmětné ustanovení zákona o daních z příjmu je tak natolik problematické, že z něj nelze jednoznačně a bez jakýchkoliv pochybností vyvodit jednotlivá práva a povinnosti. V této souvislosti stěžovatel poukazuje na princip in dubio pro mitius a odkazuje na judikaturu Ústavního a Nejvyššího správního soudu.",[ -9.      -8.5     -6.1875 -11.875  -10.125   34.5    -10.8125  -9.3125],00000100,00000000
27,623534.html.xmi_27,"[12] V druhém stížním bodě je dle stěžovatele § 35b odst. 1 zákona o daních z příjmu obdobně jako odst. 7 téhož paragrafu spojen s nejasnostmi při jejich výkladu. Opětovně stěžovatel odkazuje na judikaturu Ústavního soudu, která sumarizuje požadavek na přesnost, určitost a srozumitelnost právních norem. Stěžovatel má za to, že dotčené ustanovení vyvolává určité nejasnosti, z čehož následně plyne i možnost výkladu s různými právními důsledky. Stěžovatel považuje za problematický samotný výpočet slevy na dani za pomocí částek označených v předmětném ustanovení jako S1 a S2, který může vést k absurdnímu a nepřiměřeně represivnímu důsledku. Stěžovatel dále poukazuje na to, že k naplnění podmínek investičních pobídek nebyl k dispozici ani oficiální formulář, ve kterém by šlo použít výpočtový algoritmus obsažený v § 35b odst. 1 zákona o dani z příjmu.",[-15.1875 -14.5625  -5.6875 -16.25   -17.75   -16.5    -27.75   -18.5   ],00000000,00000000
28,623534.html.xmi_28,"[13] Ve třetím stížním bodě stěžovatel tvrdí, že dodatečným splněním podmínek pro poskytnutí investičních pobídek z iniciativy stěžovatele nedošlo ke vzniku újmy na straně státního rozpočtu a tudíž také nebylo na místě aplikovat sankci dle § 35b odst. 7 zákona o daních z příjmu. Dále poukazuje na konstrukci § 35 odst. 7 zákona o daních z příjmu a absenci lhůty pro dodržení podmínek pro poskytnutí investičních pobídek dle § 35a odst. 2 téhož zákona. Dle stěžovatele nevyplývá z textu § 35b zákona o daních z příjmu povinnost splnit podmínky pro poskytnutí investičních pobídek ve lhůtě pro podání daňového přiznání za předmětné zdaňovací období. Stěžovatel setrvává na stanovisku, pokud je pochybení v rámci určitého zdaňovacího období napraveno v důsledku vlastní kontrolní činnosti, pak není případné aplikovat sankční snížení slevy na dani dle § 35b odst. 7 zákona o daních z příjmu.",[-12.6875 -13.4375 -16.875  -14.5    -16.375  -16.75   -27.125  -19.125 ],00000000,00000000
29,623534.html.xmi_29,"[14] V posledním stížním bodě stěžovatel konstatuje, že při zhodnocení veškerých námitek proti právním závěrům městského soudu, tento rozsudek vykazuje známky nezákonnosti a v konečném důsledku i protiústavnosti. Rozsudek především nerespektuje mírnější výklad ustanovení zákona a základní zásady daňového řízení specifikované v § 2 zákona o správě daní a poplatků. Rozhodnutím finančního úřadu a soudu mělo dojít k poručení ústavně zaručených práv a to konkrétně zmíněných čl. 11 (vlastnit majetek) a čl. 11 odst. 5. Dále shledává porušení strukturálního principu demokratického státu in dubio pro liberante čl. 1 odst. 1 a čl. 2 odst. 4 Ústavy, jakož i čl. 2 odst. 3 a čl. 4 Listiny. Výklad městského soudu lze považovat přinejmenším za přísnější, než výklad, který nabídl stěžovatel v žalobě nebo v předchozích podáních.",[-13.6875 -14.1875 -18.5    -13.375  -14.625  -14.375  -24.875  -11.625 ],00000000,00000000
30,623534.html.xmi_30,III.,[-13.     -15.375  -17.5    -14.0625 -15.8125 -16.125  -26.25   -19.    ],00000000,00000000
31,623534.html.xmi_31,Stručné shrnutí vyjádření žalovaného,[-13.     -15.25   -17.875  -14.     -15.6875 -16.25   -26.375  -18.75  ],00000000,00000000
32,623534.html.xmi_32,"[15] Žalovaný ve vyjádření ke kasační stížnosti uvádí, že z § 35b odst. 7 zákona o daních z příjmu nelze dovodit, že by porušení podmínky stanovené v §35a odst. 2 písm. a) téhož zákona nastolovalo jiné důsledky pro případ, kdy porušení zjistí samotný daňový subjekt a jiné, když by toto porušení zjistil správce daně. Ustanovení § 41 odst. 1 zákona o správě daní a poplatků stanoví jako ustanovení procesního zákona obecnou povinnost daňového subjektu podat dodatečné daňové přiznání v případě, že má být jeho daňová povinnost vyšší.",[-13.1875 -14.9375 -18.25   -13.9375 -15.5    -16.25   -26.5    -18.75  ],00000000,00000000
33,623534.html.xmi_33,"[16] Ve vztahu k námitce nejednoznačnosti a rozporuplnosti § 35b odst. 7 zákona o daních z příjmu žalovaný uvádí, že toto ustanovení nezpůsobuje nesrozumitelnost, a že na jeho základě lze dojít k závěru jediného výkladu. Vzhledem k tomu, že správce daně je povinen řídit se zákonem, nemůže uplatnit zásadu mírnějšího výkladu. Dále pokud je porušena zvláštní podmínka stanovená v §35a odst. 2 písm. a) zákona o daních z příjmu, sankční snížení daně neznamená multiplikaci ani nepřiměřenou represi zákona. Skutečnost, že formulář daňového přiznání neobsahoval výpočtový algoritmus, neznačí ještě nejasnost, neurčitost a problematičnost aplikace výše uvedených ustanovení zákona. Co se týče námitky, že zákon nestanoví časové období, v němž mají být splněny podmínky pro poskytnutí investičních pobídek, je třeba vycházet z formulace podmínky, která stanoví postup při sestavování daňového přiznání, a tudíž tato povinnost musí být splněna v termínu pro daňové přiznání.",[ -9.8125 -12.625  -14.6875 -12.75   -15.     -15.625  -24.75   -14.625 ],00000000,00000000
34,623534.html.xmi_34,IV.,[-13.25   -15.0625 -17.625  -13.9375 -15.625  -16.     -26.25   -19.    ],00000000,00000000
35,623534.html.xmi_35,Stručné shrnutí vyjádření repliky žalobce,[-13.     -15.25   -17.75   -14.0625 -15.75   -16.25   -26.375  -18.875 ],00000000,00000000
36,623534.html.xmi_36,"[17] Žalobce v replice k vyjádření žalovaného uvedl ve vztahu k interpretaci a aplikaci § 35b odst. 7 zákona o daních z příjmů, že dle jeho názoru dopady tohoto ustanovení nemohly být původně zamýšleny tak, jak je žalovaný podává. Bylo by zcela v rozporu se základními principy daňového procesu, kdyby byl daňový subjekt postihován v případě, že pochybení zjistí sám.","[-14.375     -14.6875    -16.125     -17.125     -18.875       1.3984375
 -25.375     -15.0625   ]",00000100,00000000
37,623534.html.xmi_37,"[18] Ačkoliv citované ustanovení neobsahuje přímou, výslovnou oporu pro právní názor stěžovatele, za podpůrného použití základních principů daňového řízení a daňového práva vůbec, lze dojít k výkladu, dle kterého je nutné nahlížet rozdílně na důsledky zjištění správce daně a daňového subjektu. Vzhledem ke smyslu investičních pobídek by byla sankce v případě zjištění pochybení daňovým subjektem proti smyslu právní úpravy.",[-11.625  -15.75   -14.6875 -14.875  -16.875   -7.     -21.375  -10.    ],00000000,00000000
38,623534.html.xmi_38,V.,[-13.125  -15.125  -17.375  -14.1875 -16.125  -16.125  -26.375  -19.125 ],00000000,00000000
39,623534.html.xmi_39,Právní názor Nejvyššího správního soudu,[-12.75   -16.     -17.75   -13.9375 -15.875  -15.8125 -26.     -18.375 ],00000000,00000000
40,623534.html.xmi_40,"[19] Po konstatování přípustnosti a včasnosti kasační stížnosti podle ustanovení § 102 a násl. s. ř. s. Nejvyšší správní soud nejprve přistoupil k přezkoumání napadeného rozsudku městského soudu v souladu s § 109 odst. 2 a 3 s. ř. s. a přitom neshledal, že by řízení před soudem bylo zatíženo vadami, k nimž by musel přihlédnout z moci úřední.",[-13.5625 -14.625  -17.875  -13.625  -15.375  -16.     -26.5    -19.125 ],00000000,00000000
41,623534.html.xmi_41,"[20] Poté soud posoudil námitky uvedené v kasační stížnosti a dospěl k závěru, že kasační stížnost není důvodná.",[-13.25   -15.     -18.     -13.8125 -15.4375 -16.125  -26.25   -18.75  ],00000000,00000000
42,623534.html.xmi_42,"[21] Stěžovatel v kasační stížnosti strukturoval své námitky do čtyř stížních bodů a) Interpretace ustanovení § 35b odst. 7 zákona o daních z příjmu, b) Nejednoznačnost právní úpravy výpočtu slevy na dani, c) Dodržení podmínek pro poskytnutí investičních pobídek, d) Nezákonnost napadeného rozsudku. Z důvodu přehlednosti soud dodržel výše uvedené členění i v tomto rozsudku. Nad to zdejší soud poznamenává, že se obdobnými otázkami zabýval již opakovaně a to v rozsudcích ze dne 14. 7. 2011, č. j. 9 Afs 85/2010 – 130 a ze dne 17. 9. 2010, č. j. 5 Afs 3/2010 – 144.",[-13.375  -14.1875 -17.25   -14.125  -16.125  -16.625  -27.125  -19.75  ],00000000,00100000
43,623534.html.xmi_43,V. a Interpretace ustanovení § 35b odst. 7 zákona o daních z příjmu,[-13.5    -14.1875 -17.875  -13.875  -15.75   -16.125  -26.75   -19.5   ],00000000,00000000
44,623534.html.xmi_44,"[22] V projednávané věci je nesporné, že stěžovatel v řádném daňovém přiznání k dani z příjmu právnických osob za zdaňovací období roku 2005 neuplatnil všechny odpisy podle § 26 až § 33 zákona o daních z příjmu. Učinil tak až následně skrze dodatečné daňové přiznání v roce 2007. Dále není sporu, že tak nebyla v případě řádného daňového přiznání dodržena podmínka, za které může poplatník uplatnit slevu na dani vyplívající z investiční pobídky. Mezi účastníky je však sporná otázka, zda má na uplatnění sankce dle § 35b odst. 7 zákona o daních z příjmu vliv okolnost, že porušení výše uvedených podmínek zjistil samotný daňový subjekt a pokusil se ho napravit skrze dodatečné daňové přiznání.",[-13.4375 -14.625  -18.125  -14.125  -15.875  -16.625  -27.     -18.875 ],00000000,00000000
45,623534.html.xmi_45,"[23] Výše uvedená podmínka, za které může poplatník uplatnit slevu na dani vyplívající z investiční pobídky, je zakotvena v § 35a, odst. 1 písm. a) bod 1 zákona o daních z příjmu: „Zvláštními podmínkami, za kterých lze uplatnit slevu na dani podle odstavce 1, jsou a) poplatník využije v nejvyšší možné míře všech ustanovení tohoto zákona ke snížení základu daně, a to zejména uplatněním 1. všech odpisů podle § 26 až 33; v období uplatňování slevy nelze odpisování přerušit (§ 26 odst. 8), stanovení způsobu odpisování podle tohoto zákona provede poplatník“",[-13.5    -14.0625 -18.25   -14.0625 -15.625  -16.75   -27.     -19.25  ],00000000,00000000
46,623534.html.xmi_46,"[24] V § 35b odst. 7 zákona o daních z příjmu ve znění účinném ke dni vydání napadeného rozhodnutí je ve vztahu k porušení výše uvedených podmínek uvedeno: „Nedodrží-li poplatník podmínku uvedenou v § 35a odst. 2 písm. a), nárok na slevu za zdaňovací období, ve kterém tato podmínka nebyla dodržena, se snižuje o částku ve výši součinu dvojnásobku sazby daně podle § 21 odst. 1 a té části změny základu daně po snížení o položky podle § 20 odst. 8 a § 34, která vznikla porušením podmínky podle odstavce 2 písm. a), a poplatník je povinen podat dodatečné daňové přiznání za všechna zdaňovací období, ve kterých podmínku nedodržel.“ [zvýraznění přidáno].",[ -7.8125 -10.5625 -12.75   -12.6875 -14.875  -14.8125 -25.125  -17.625 ],00000000,00000000
47,623534.html.xmi_47,"[25] Dle stěžovatele je nutné aplikovat sankční snížení slevy na dani jen v případě, kdy je pochybení zjištěno činností správce daně, nikoliv na základě vlastních kontrolních mechanismů daňového subjektu. Stěžovatel svůj názor mimo jiné dovozuje z gramatického výkladu výše citovaného souvětí § 35b odst. 7 zákona o daních z příjmu. Dle stěžovatele je spojka „a“ [v textu zvýrazněno] umístěna za čárkou a nejedná se tak o spojku souřadicí. Pak se právě následující věta po této spojce vztahuje na situace, kdy porušení podmínek nezjistí správce daně a naopak předcházející věta na případy opačné.",[ 10.4375 -10.     -11.1875 -10.4375  -7.1875 -14.75   -11.9375  -2.3125],10000000,00000000
48,623534.html.xmi_48,"[26] Z textu uvedeného ustanovení však dle názoru zdejšího soudu nijak nevyplývá, že část uvedeného ustanovení se má aplikovat pouze, pokud je zjištěno správcem daně nikoli daňovým poplatníkem. Nejvyšší správní soud v rozsudku ze dne 14. 7. 2011, č. j. 9 Afs 85/2010 – 130, konstatoval, že „základní premisa stěžovatelovy úvahy, že spojka „a“ není v citované části ustanovení souřadicí, je mylná. Čárka před uvedenou spojkou „a“ je v textu zákonného ustanovení uvedena proto, že mezi dvě věty hlavní je vložena tato věta vedlejší: „která vznikla porušením podmínky podle odstavce 2 písm. a)“. Uvedená spojka „a“ tak, ačkoli se před ní nachází čárka, souřadně spojuje obě věty hlavní“. Argumentace stěžovatele v tomto ohledu neobsahuje nic nového, co by mělo názor soudu změnit.","[  0.03588867  -9.75        -3.015625   -12.125      -13.0625
 -16.125      -20.5        -13.625     ]",10000000,10100000
49,623534.html.xmi_49,"[27] Stěžovatel svůj výklad § 35b odst. 7 zákona o daních z příjmu dále odůvodňuje souvislostí tohoto ustanovení a § 41 odst. 1 zákona o správě daní a poplatků. Dle stěžovatele bylo by v rozporu s jejich smyslem, pokud by nebylo podstatné, kdo zjistil rozdíl základu daně. V tomto ohledu je nutné uvést, že dodatečné daňové přiznání je obecným nástrojem, který daňovému subjektu, bez ohledu na udělení investiční pobídky, umožňuje napravit případné omyly při stanovení výše daňové povinnosti za znatelně výhodnějších podmínek, než kdyby je zjistil správce daně sám. Oproti tomu investiční pobídka je výjimečným institutem a představuje pro jejího příjemce nespornou výhodu. Pokud chce daňový subjekt, kterému byl poskytnut příslib investiční pobídky slevy na dani, tuto slevu uplatnit, musí mimo obecných povinností splnit další zvláštní podmínky. V případě, že slevu na dani uplatní i přes nesplnění těchto podmínek, spojuje s tímto zákon sankční následky.","[ -5.28125  -9.      -12.875   -10.4375  -10.      -14.8125  -20.375
  -8.125  ]",00000000,01000010
50,623534.html.xmi_50,"[28] K samotnému snížení slevy na dani dochází přímo na základě zákona. Skutečnost, zda bylo porušení podmínek uvedených v § 35a odst. 2 zákona o daních z příjmu ustanovení zjištěno správcem daně či samotným daňovým subjektem, proto není pro aplikaci uvedeného ustanovení podstatná. Podstatné je pouze, zda k porušení zákonem stanovené podmínky při vykázání daňového základu v řádném přiznání fakticky došlo. Zdejší soud se tedy ztotožňuje s názorem městského soudu, který uvedl, že „v § 35b odst. 7 ZDP není nijak rozlišeno, zda porušení zvláštní podmínky stanovené v § 35a odst. 2 písm. a) ZDP zjistil sám daňový subjekt nebo správce daně (např. v průběhu daňové kontroly). Podle § 35b odst. 7 ZDP každé nedodržení citované zvláštní podmínky vede ke snížení (popř. zániku) slevy na dani.“ [ZDP – zákon č. 586/1992 Sb., o daních z příjmu].","[ -5.90625     1.8828125 -13.8125    -13.375     -12.5625    -14.5
 -23.375     -13.5      ]",01000000,00000000
51,623534.html.xmi_51,"[29] Skutečnost, že zákon v případě uplatnění sankcí za pochybení týkajícího se uplatnění investiční pobídky nerozlišuje, zda bylo dané pochybení odstraněno pomocí dodatečného daňového přiznání, neznamená samo o sobě porušení obecného opravného nástroje, ale jedná se o autonomní úpravu sankcí v případě tohoto institutu. Vzhledem k výjimečnému charakteru investičních pobídek je tato případná tvrdost zákona na místě. Poslední věta § 35b odst. 7 zákona o daních z příjmů navíc nedovoluje, aby sleva na dani dosáhla záporných hodnot, díky čemuže se daňový subjekt, jemuž byla přiznána investiční pobídka, nemůže dostat do horšího postavení než v jakém by byl, kdyby mu tato investiční pobídka přiznána nebyla.",[-11.75   -12.5625 -17.25   -13.     -12.75   -15.25   -23.375  -10.0625],00000000,01000001
52,623534.html.xmi_52,"[30] Zdejší soud se shoduje s městským soudem i v otázce „legislativní nedůslednosti“ v případě odkazu na stanovení podmínek investičních pobídek uvedeného v § 35b odst. 7 zákona o daních z příjmu a jejich důsledků v interpretaci tohoto ustanovení. Ačkoliv obecně platí, že odkazuje-li se v rámci jednoho právního předpisu z jednoho odstavce určitého paragrafu na ustanovení jiného paragrafu, uvede se v odkazu číslo odkazovaného paragrafu, nelze toto výkladové pravidlo absolutizovat v těch případech, kdy by vedlo k absurdním výsledkům. V tomto případě je totiž možné jednoznačně dojít k závěru, na jaké ustanovení je odkazováno. Posuzovaný odkaz v § 35b odst. 7 zákona o daních z příjmů nemůže smysluplně směřovat k § 35b odst. 2 téhož zákona, protože § 35b odst. 2 neobsahuje žádnou podmínku, kterou odkaz předpokládá. Zdejší soud vychází zcela v souladu s městským soudem z toho, že „je zřejmé, že oním „odstavcem 2 písm. a)“ se v kontextu s bezprostředně předcházejícím textem rozumí právě §35 a odst. 2 písm. a).“ V daném ohledu lze využít i srovnání s § 35a odst. 6 zákona o daních z příjmů, který obsahuje de facto shodnou normu a který má téměř shodnou textaci. V případě § 35a odst. 6 zákona o daních z příjmů pak není pochyb, že odkazy na odst. 2 použité v daném ustanovení směřují k § 35a odst. 2 tohoto zákona.","[ -3.28125    -10.25        -0.92578125 -10.1875     -12.9375
 -20.5         -8.875        3.421875  ]",00000001,11000010
53,623534.html.xmi_53,"[31] Nelze souhlasit ani s námitkou stěžovatele tvrdící vnitřní rozpor v argumentaci městského soudu. Městský soud odkazem na legislativní pravidla vlády poukazuje na skutečnost, že opravdu došlo k „legislativní nedůslednosti“ s čímž souhlasí i zdejší soud. Jak je však výše uvedeno, i přes tuto vadu je v kontextu celého textu daného paragrafu jednoznačné, na které ustanovení je odkazováno.",[-13.4375 -14.25   -18.375  -13.9375 -15.3125 -16.5    -26.75   -19.    ],00000000,10000000
